eventid,iyear,imonth,month_txt,iday,date,country_txt,region_txt,provstate,city,latitude,longitude,multiple,success,suicide,suicide_txt,attacktype1_txt,targtype1_txt,target1,weaptype1_txt,nkill
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Kandahar,Arghandab district,31.65,65.65,0,1,0,No,Unarmed Assault,Police,Officer,Chemical,1
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Kandahar,Kandahar,31.631083,65.742226,0,1,0,No,Armed Assault,Private Citizens & Property,Baker's Representative: Haji Amanullah,Firearms,0
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Herat,Shindand district,33.306127,62.156823,0,1,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,2
2.02E+11,2017,1,Jan,3,3/01/2017,Nigeria,Sub-Saharan Africa,Adamawa,Dar,10.890928,13.627589,0,0,0,No,Hostage Taking (Kidnapping),Private Citizens & Property,Village,Firearms,
2.02E+11,2017,1,Jan,3,3/01/2017,Iraq,Middle East & North Africa,Al Anbar,Ramadi,33.409771,43.198972,0,1,1,Yes,Bombing/Explosion,Military,Checkpoint,Explosives,2
2.02E+11,2017,1,Jan,3,3/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,1,0,0,No,Bombing/Explosion,Military,Forces,Explosives,75
2.02E+11,2017,1,Jan,3,3/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,1,0,0,No,Bombing/Explosion,Military,9th Armored Division,Explosives,93
2.02E+11,2017,1,Jan,3,3/01/2017,Iraq,Middle East & North Africa,Nineveh,Mosul,36.354145,43.14357,1,0,0,No,Unknown,Military,16th Division,Unknown,11
2.02E+11,2017,1,Jan,3,3/01/2017,India,South Asia,Jammu and Kashmir,Murran,33.86652,74.864548,0,1,0,No,Armed Assault,Police,Officers,Firearms,0
2.02E+11,2017,1,Jan,3,3/01/2017,Egypt,Middle East & North Africa,Alexandria,Alexandria,31.200092,29.918739,0,1,0,No,Armed Assault,Business,Shopkeeper of Alcohol Store,Melee,1
2.02E+11,2017,1,Jan,3,3/01/2017,Lebanon,Middle East & North Africa,South,Ain al-Hilweh,33.542004,35.381153,0,1,0,No,Armed Assault,Private Citizens & Property,Refugee Camp,Explosives,0
2.02E+11,2017,1,Jan,3,3/01/2017,India,South Asia,Jharkhand,Khelari,23.65,85,0,1,0,No,Bombing/Explosion,Business,Coal Washery Weighing House,Explosives,0
2.02E+11,2017,1,Jan,3,3/01/2017,Pakistan,South Asia,Balochistan,Phuleji,28.994965,68.348482,0,0,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,3,3/01/2017,Pakistan,South Asia,Balochistan,Chattar,28.869226,68.334419,0,0,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,0
2.02E+11,2017,1,Jan,3,3/01/2017,Mexico,North America,Coahuila,Saltillo,25.426636,-100.995363,0,1,0,No,Hostage Taking (Kidnapping),Religious Figures/Institutions,Priest: Joaquin Hernandez Sifuentes,Melee,1
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Badakhshan,Faizabad district,37.101709,70.555236,0,1,0,No,Unknown,Military,Convoy,Unknown,
2.02E+11,2017,1,Jan,2,2/01/2017,Afghanistan,South Asia,Helmand,Bolan,31.589827,64.337952,0,1,0,No,Unknown,Police,Checkpost,Unknown,10
2.02E+11,2017,1,Jan,3,3/01/2017,Afghanistan,South Asia,Takhar,Ishkamish district,36.420649,69.35927,0,1,0,No,Bombing/Explosion,Unknown,Unknown,Explosives,1
2.02E+11,2017,1,Jan,4,4/01/2017,Libya,Middle East & North Africa,Sirte,Sirte,31.203173,16.643446,0,1,1,Yes,Bombing/Explosion,Military,Checkpoint,Explosives,1
