eventid,iyear,imonth,iday,country_txt,region_txt,provstate,city,latitude,longitude,location,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,guncertain1,claimed,weaptype1_txt,weapsubtype1,weapsubtype1_txt,nkill,dbsource
2.01701E+11,2017,1,2,Philippines,Southeast Asia,Zamboanga Sibugay,Basalem,7.740712,123.076513,The incident occurred in Buug district.,0,0,0,1,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Government of Kumalarang,Vehicle of Mayor: Eugenio Salva Jr.,Philippines,Unknown,0,0,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,2,India,South Asia,Tamil Nadu,Alangulam,8.864636,77.496008,,0,1,0,1,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Government of Alangulam,Former Councilor: A. Mohan Raj,India,Unknown,0,0,Firearms,5,Unknown Gun Type,1,START Primary Collection
2.01701E+11,2017,1,3,Greece,Western Europe,Attica,Athens,37.99749,23.762728,,0,1,0,3,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)","Greek Ministry of Labour, Social Insurance and Social Solidarity",National Actuarial Authority President: Efrosini Kouskouna,Greece,Unknown,0,0,Explosives,17,Other Explosive Type,0,START Primary Collection
2.01701E+11,2017,1,2,India,South Asia,Manipur,Unknown,24.663717,93.906269,,0,1,0,9,Unknown,Military,Paramilitary,Assam Rifles (AR),Soldiers,India,People's Liberation Army (India),1,0,Unknown,,,3,START Primary Collection
2.01701E+11,2017,1,2,Mali,Sub-Saharan Africa,Mopti,Boni,15.075,-2.221111,The incident occurred between Boni and Hombori.,0,0,0,2,Armed Assault,Military,Military Checkpoint,Malian Armed Forces,Camel Corp Checkpoint,Mali,Unknown,0,0,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,2,Iraq,Middle East & North Africa,Saladin,Shirqat district,35.466624,43.238815,The incident occurred on the Az Zuwiyah intersection in the district,0,1,0,9,Unknown,Military,"Military Personnel (soldiers, troops, officers, forces)",Iraqi Armed Forces,Soldiers,Iraq,Islamic State of Iraq and the Levant (ISIL),0,1,Unknown,,,3,START Primary Collection
2.01701E+11,2017,1,3,Yemen,Middle East & North Africa,Abyan,Lawdar district,13.883333,45.866667,The incident occurred in the Amiiyan area.,0,1,0,2,Armed Assault,Military,Military Transportation/Vehicle (excluding convoys),Military of Yemen,Vehicles,Yemen,Al-Qaida in the Arabian Peninsula (AQAP),0,0,Firearms,5,Unknown Gun Type,2,START Primary Collection
2.01701E+11,2017,1,3,Pakistan,South Asia,Khyber Pakhtunkhwa,Khazana,34.075466,71.599998,The incident occurred in Peshawar district.,0,1,0,2,Armed Assault,Police,Police Security Forces/Officers,Pakistani Police,Officer: Zarnosh Khan,Pakistan,Khorasan Chapter of the Islamic State,0,1,Firearms,3,Handgun,1,START Primary Collection
2.01701E+11,2017,1,3,Libya,Middle East & North Africa,Sirte,Unknown,31.164289,16.887761,The incident occurred 27 km east of Sirte.,0,1,1,3,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Unknown,Mosque,Libya,Tripoli Province of the Islamic State,0,0,Explosives,13,Suicide (carried bodily by human being),1,START Primary Collection
2.01701E+11,2017,1,3,Pakistan,South Asia,Balochistan,Kech district,25.530286,63.415847,The incident occurred at the Shadi Kor Dam.,0,1,0,2,Armed Assault,Business,Construction,Shadi Kor Dam,Construction Site,Pakistan,Baloch Liberation Front (BLF),0,1,Firearms,5,Unknown Gun Type,0,START Primary Collection
2.01701E+11,2017,1,3,Philippines,Southeast Asia,Basilan,Unknown,6.741797,122.398145,The incident occurred off of Sibago Island.,0,0,0,4,Hijacking,Maritime,Commercial Maritime,Oceanic Shipping Lines,Ocean Kingdom Merchant Vessel,Philippines,Abu Sayyaf Group (ASG),0,0,Firearms,2,Automatic or Semi-Automatic Rifle,0,START Primary Collection
